"RecordNo";"project_id";"mushrooms";"Awareness_score";"Usage_score";"Preference_score";"Familiarity_score";"FutureUsage_score";"Satisfaction_score"
1135;1;"Podgrzybek";1;2;5;1;2;1
1135;1;"Podgrzybek";1;2;5;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;5;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;5;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;5;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;5;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;5;1;2;1
1135;1;"Podgrzybek";1;2;5;1;2;1
1135;1;"Podgrzybek";1;2;5;1;2;1
1135;1;"Podgrzybek";1;2;4;1;2;1
1135;1;"Podgrzybek";1;2;5;1;2;1
1135;1;"Podgrzybek";1;2;5;1;2;1
1135;1;"Podgrzybek";1;2;5;1;2;1
1135;1;"Podgrzybek";1;2;5;1;2;1
1135;1;"Podgrzybek";1;2;5;1;2;1
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;4;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;4;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;4;1;4;5
1135;1;"Opieñka";1;2;4;1;4;5
1135;1;"Opieñka";1;2;4;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;4;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;4;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;4;1;4;5
1135;1;"Opieñka";1;2;4;1;4;5
1135;1;"Opieñka";1;2;4;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;4;1;4;5
1135;1;"Opieñka";1;2;4;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;4;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;4;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;4;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;4;1;4;5
1135;1;"Opieñka";1;2;4;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;4;1;4;5
1135;1;"Opieñka";1;2;5;1;4;5
1135;1;"Opieñka";1;2;4;1;4;5
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
1135;1;"G¹ska";2;2;4;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
1135;1;"G¹ska";2;2;5;3;3;3
